trait_common,study_name_common,trait_rare,study_name_rare
Red blood cell (erythrocyte) count,ukb-d-30010-irnt,Red blood cell erythrocyte count (30010),ukb-wes-bm-00003045
Red blood cell (erythrocyte) distribution width,ukb-d-30070-irnt,Red blood cell erythrocyte distribution width (30070),ukb-wes-bm-00003687
Relative age of first facial hair,ukb-b-5945,Relative age of first facial hair - Older than average (2375),ukb-wes-bm-00001027
Relative age voice broke,ukb-b-5262,Relative age voice broke - Older than average (2385),ukb-wes-bm-00003965
Repeated disturbing thoughts of stressful experience in past month,ukb-d-20497,Repeated disturbing thoughts of stressful experience in past month - Extremely (20497),ukb-wes-bm-00000533
Severity of manic/irritable episodes,ukb-d-5674,Severity of manic irritable episodes 12 Needed treatment or caused problems with work relationships finances the law or other aspects of life (5674),ukb-wes-bm-00003807
Severity of problems due to mania or irritability,ukb-d-20493,Severity of problems due to mania or irritability - Needed treatment or caused problems with work relationships finances the law or other aspects of life (20493),ukb-wes-bm-00001830
Sleeping too much,ukb-d-20534,Sleeping too much - Yes (20534),ukb-wes-bm-00003424
Sleeplessness / insomnia,ukb-b-3957,Sleeplessness insomnia - Usually (1200),ukb-wes-bm-00000768
Substances taken for anxiety: Drugs or alcohol (more than once),ukb-d-20549-4,Substances taken for anxiety - Drugs or alcohol more than once (20549),ukb-wes-bm-00002739
Substances taken for anxiety: Medication prescribed to you (for at least two weeks),ukb-d-20549-3,Substances taken for anxiety - Medication prescribed to you for at least two weeks (20549),ukb-wes-bm-00000993
Substances taken for anxiety: Unprescribed medication (more than once),ukb-d-20549-1,Substances taken for anxiety - Unprescribed medication more than once (20549),ukb-wes-bm-00003970
Substances taken for depression: Drugs or alcohol (more than once),ukb-d-20546-4,Substances taken for depression - Drugs or alcohol more than once (20546),ukb-wes-bm-00001804
Substances taken for depression: Medication prescribed to you (for at least two weeks),ukb-d-20546-3,Substances taken for depression - Medication prescribed to you for at least two weeks (20546),ukb-wes-bm-00002408
Substances taken for depression: Unprescribed medication (more than once),ukb-d-20546-1,Substances taken for depression - Unprescribed medication more than once (20546),ukb-wes-bm-00001560
"Systolic blood pressure, manual reading",ukb-b-6503,Systolic blood pressure,ukb-wes-gb-00003792
"Tense, sore, or aching muscles during worst period of anxiety",ukb-d-20417,Tense sore or aching muscles during worst period of anxiety - Yes (20417),ukb-wes-bm-00000854
Thoughts of death during worst depression,ukb-d-20437,Thoughts of death during worst depression - Yes (20437),ukb-wes-bm-00001656
"Tinnitus: Yes, but not now, but have in the past",ukb-d-4803-14,Tinnitus 14 Yes but not now but have in the past (4803),ukb-wes-bm-00003346
"Tinnitus: Yes, now a lot of the time",ukb-d-4803-12,Tinnitus 12 Yes now a lot of the time (4803),ukb-wes-bm-00000162
"Tinnitus: Yes, now most or all of the time",ukb-d-4803-11,Tinnitus 11 Yes now most or all of the time (4803),ukb-wes-bm-00002937
