trait	study_name	data_type	data_format	ancestry	sample_size	num_clumped	efoTraits	study_name_collapsed	top_num_clumped
Mean platelet volume	ebi-a-GCST90028996	phenotype	opengwas	EUR	694866	622	mean platelet volume	ebi-a-GCST004599,ebi-a-GCST90002346,ebi-a-GCST90002395,ebi-a-GCST90025960	TRUE
Eosinophil percentage of white cells	ebi-a-GCST90002382	phenotype	opengwas	EUR	408112	408	eosinophil percentage of leukocytes	ebi-a-GCST004600	TRUE
Red blood cell count	ebi-a-GCST90002363	phenotype	opengwas	EUR	545203	532	red blood cell density measurement	ebi-a-GCST004601,ebi-a-GCST90002403,ebi-a-GCST90018971,ebi-a-GCST90025964,ebi-a-GCST90029002	TRUE
Mean corpuscular volume	ebi-a-GCST90002334	phenotype	opengwas	EUR	544127	546	mean corpuscular volume	ebi-a-GCST004602,ebi-a-GCST90002392,ebi-a-GCST90018966,ebi-a-GCST90025963	TRUE
Platelet count	ebi-a-GCST90028999	phenotype	opengwas	EUR	600968	602	platelet count	ebi-a-GCST004603,ebi-a-GCST90002357,ebi-a-GCST90002402,ebi-a-GCST90018969,ebi-a-GCST90025951	FALSE
Hematocrit	ebi-a-GCST90002304	phenotype	opengwas	EUR	562259	463	hematocrit	ebi-a-GCST004604,ebi-a-GCST90002383,ebi-a-GCST90018960	TRUE
Mean corpuscular hemoglobin concentration	ebi-a-GCST90002328	phenotype	opengwas	EUR	491553	245	mean corpuscular hemoglobin concentration	ebi-a-GCST004605,ebi-a-GCST90002391,ebi-a-GCST90018965,ebi-a-GCST90025962	FALSE
Eosinophil counts	ebi-a-GCST90002298	phenotype	opengwas	EUR	474237	456	eosinophil count	ebi-a-GCST004606,ebi-a-GCST90002381,ebi-a-GCST90018953,ebi-a-GCST90025987	TRUE
Plateletcrit	ebi-a-GCST90002400	phenotype	opengwas	EUR	408112	506	platelet crit	ebi-a-GCST004607	TRUE
Granulocyte percentage of myeloid white cells	ebi-a-GCST004608	phenotype	opengwas	EUR	169545	177	granulocyte percentage of myeloid white cells	""	TRUE
Monocyte percentage of white cells	ebi-a-GCST90002394	phenotype	opengwas	EUR	408112	417	monocyte percentage of leukocytes	ebi-a-GCST004609	TRUE
White blood cell count	ebi-a-GCST90002374	phenotype	opengwas	EUR	562243	513	myeloid white cell count	ebi-a-GCST004610,ebi-a-GCST90002407,ebi-a-GCST90018978,ebi-a-GCST90025985,ebi-a-GCST90029003	TRUE
High light scatter reticulocyte count	ebi-a-GCST90028993	phenotype	opengwas	EUR	520010	421	reticulocyte count	ebi-a-GCST004611,ebi-a-GCST90002385,ebi-a-GCST90025970	FALSE
High light scatter reticulocyte percentage of red cells	ebi-a-GCST90002386	phenotype	opengwas	EUR	408112	428	reticulocyte measurement	ebi-a-GCST004612	TRUE
Sum neutrophil eosinophil counts	ebi-a-GCST004613	phenotype	opengwas	EUR	170384	151	sum of neutrophil and eosinophil counts	""	TRUE
Granulocyte count	ebi-a-GCST004614	phenotype	opengwas	EUR	169822	155	granulocyte count	""	TRUE
Hemoglobin concentration	ebi-a-GCST90002310	phenotype	opengwas	EUR	563946	491	hemoglobin measurement	ebi-a-GCST004615	TRUE
Platelet distribution width	ebi-a-GCST90029000	phenotype	opengwas	EUR	572201	491	platelet component distribution width	ebi-a-GCST004616,ebi-a-GCST90002401	TRUE
Eosinophil percentage of granulocytes	ebi-a-GCST004617	phenotype	opengwas	EUR	170536	159	eosinophil percentage of granulocytes	""	TRUE
White blood cell count (basophil)	ebi-a-GCST004618	phenotype	opengwas	EUR	171846	81	basophil count	""	TRUE
Reticulocyte fraction of red cells	ebi-a-GCST90002406	phenotype	opengwas	EUR	408112	409	reticulocyte measurement	ebi-a-GCST004619	TRUE
