trait	study_name	data_type	data_format	ancestry	sample_size	num_clumped	efoTraits	study_name_collapsed	top_num_clumped
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia)	ebi-a-GCST90027652	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Bacilli)	ebi-a-GCST90027653	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia)	ebi-a-GCST90027654	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Erysipelotrichia)	ebi-a-GCST90027655	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Negativicutes)	ebi-a-GCST90027656	phenotype	opengwas	EUR	7738	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Betaproteobacteria)	ebi-a-GCST90027657	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria)	ebi-a-GCST90027658	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria)	ebi-a-GCST90027659	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Verrucomicrobia.c_Verrucomicrobiae)	ebi-a-GCST90027660	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Micrococcaceae)	ebi-a-GCST90027661	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae)	ebi-a-GCST90027662	phenotype	opengwas	EUR	7738	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae)	ebi-a-GCST90027663	phenotype	opengwas	EUR	7738	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae)	ebi-a-GCST90027664	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidales_noname)	ebi-a-GCST90027665	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae)	ebi-a-GCST90027666	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae)	ebi-a-GCST90027667	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae)	ebi-a-GCST90027668	phenotype	opengwas	EUR	7738	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Lactobacillaceae)	ebi-a-GCST90027669	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Streptococcaceae)	ebi-a-GCST90027670	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiaceae)	ebi-a-GCST90027671	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiales_noname)	ebi-a-GCST90027672	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Eubacteriaceae)	ebi-a-GCST90027673	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Lachnospiraceae)	ebi-a-GCST90027674	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Oscillospiraceae)	ebi-a-GCST90027675	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae)	ebi-a-GCST90027676	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales.f_Erysipelotrichaceae)	ebi-a-GCST90027677	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Negativicutes.o_Selenomonadales.f_Acidaminococcaceae)	ebi-a-GCST90027678	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Negativicutes.o_Selenomonadales.f_Veillonellaceae)	ebi-a-GCST90027679	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Burkholderiales_noname)	ebi-a-GCST90027680	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Oxalobacteraceae)	ebi-a-GCST90027681	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Sutterellaceae)	ebi-a-GCST90027682	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria.o_Desulfovibrionales.f_Desulfovibrionaceae)	ebi-a-GCST90027683	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Enterobacteriales.f_Enterobacteriaceae)	ebi-a-GCST90027684	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Pasteurellales.f_Pasteurellaceae)	ebi-a-GCST90027685	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Verrucomicrobia.c_Verrucomicrobiae.o_Verrucomicrobiales.f_Verrucomicrobiaceae)	ebi-a-GCST90027686	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Micrococcaceae.g_Rothia)	ebi-a-GCST90027687	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium)	ebi-a-GCST90027688	phenotype	opengwas	EUR	7738	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Adlercreutzia)	ebi-a-GCST90027689	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Collinsella)	ebi-a-GCST90027690	phenotype	opengwas	EUR	7738	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Eggerthella)	ebi-a-GCST90027691	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Gordonibacter)	ebi-a-GCST90027692	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides)	ebi-a-GCST90027693	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidales_noname.g_Bacteroidales_noname)	ebi-a-GCST90027694	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Barnesiella)	ebi-a-GCST90027695	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Coprobacter)	ebi-a-GCST90027696	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Odoribacter)	ebi-a-GCST90027697	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Parabacteroides)	ebi-a-GCST90027698	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae.g_Paraprevotella)	ebi-a-GCST90027699	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae.g_Prevotella)	ebi-a-GCST90027700	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae.g_Alistipes)	ebi-a-GCST90027701	phenotype	opengwas	EUR	7738	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Lactobacillaceae.g_Lactobacillus)	ebi-a-GCST90027702	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Streptococcaceae.g_Streptococcus)	ebi-a-GCST90027703	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiaceae.g_Clostridium)	ebi-a-GCST90027704	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiales_noname.g_Flavonifractor)	ebi-a-GCST90027705	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiales_noname.g_Pseudoflavonifractor)	ebi-a-GCST90027706	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Eubacteriaceae.g_Eubacterium)	ebi-a-GCST90027707	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Lachnospiraceae.g_Blautia)	ebi-a-GCST90027708	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Lachnospiraceae.g_Butyrivibrio)	ebi-a-GCST90027709	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Lachnospiraceae.g_Coprococcus)	ebi-a-GCST90027710	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Lachnospiraceae.g_Dorea)	ebi-a-GCST90027711	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Lachnospiraceae.g_Lachnospiraceae_noname)	ebi-a-GCST90027712	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Lachnospiraceae.g_Roseburia)	ebi-a-GCST90027713	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Oscillospiraceae.g_Oscillibacter)	ebi-a-GCST90027714	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_Anaerotruncus)	ebi-a-GCST90027715	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_Faecalibacterium)	ebi-a-GCST90027716	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_Ruminococcaceae_noname)	ebi-a-GCST90027717	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_Ruminococcus)	ebi-a-GCST90027718	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_Subdoligranulum)	ebi-a-GCST90027719	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales.f_Erysipelotrichaceae.g_Erysipelotrichaceae_noname)	ebi-a-GCST90027720	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales.f_Erysipelotrichaceae.g_Holdemania)	ebi-a-GCST90027721	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Negativicutes.o_Selenomonadales.f_Acidaminococcaceae.g_Phascolarctobacterium)	ebi-a-GCST90027722	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Negativicutes.o_Selenomonadales.f_Veillonellaceae.g_Dialister)	ebi-a-GCST90027723	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Negativicutes.o_Selenomonadales.f_Veillonellaceae.g_Veillonella)	ebi-a-GCST90027724	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Burkholderiales_noname.g_Burkholderiales_noname)	ebi-a-GCST90027725	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Oxalobacteraceae.g_Oxalobacter)	ebi-a-GCST90027726	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Sutterellaceae.g_Parasutterella)	ebi-a-GCST90027727	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Sutterellaceae.g_Sutterellaceae_unclassified)	ebi-a-GCST90027728	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Sutterellaceae.g_Sutterella)	ebi-a-GCST90027729	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria.o_Desulfovibrionales.f_Desulfovibrionaceae.g_Bilophila)	ebi-a-GCST90027730	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria.o_Desulfovibrionales.f_Desulfovibrionaceae.g_Desulfovibrio)	ebi-a-GCST90027731	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Enterobacteriales.f_Enterobacteriaceae.g_Escherichia)	ebi-a-GCST90027732	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Pasteurellales.f_Pasteurellaceae.g_Haemophilus)	ebi-a-GCST90027733	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Verrucomicrobia.c_Verrucomicrobiae.o_Verrucomicrobiales.f_Verrucomicrobiaceae.g_Akkermansia)	ebi-a-GCST90027734	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales)	ebi-a-GCST90027735	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales)	ebi-a-GCST90027736	phenotype	opengwas	EUR	7738	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales)	ebi-a-GCST90027737	phenotype	opengwas	EUR	7738	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales)	ebi-a-GCST90027738	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales)	ebi-a-GCST90027739	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales)	ebi-a-GCST90027740	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales)	ebi-a-GCST90027741	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Negativicutes.o_Selenomonadales)	ebi-a-GCST90027742	phenotype	opengwas	EUR	7738	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales)	ebi-a-GCST90027743	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria.o_Desulfovibrionales)	ebi-a-GCST90027744	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Enterobacteriales)	ebi-a-GCST90027745	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Pasteurellales)	ebi-a-GCST90027746	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Verrucomicrobia.c_Verrucomicrobiae.o_Verrucomicrobiales)	ebi-a-GCST90027747	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria)	ebi-a-GCST90027748	phenotype	opengwas	EUR	7738	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes)	ebi-a-GCST90027749	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Firmicutes)	ebi-a-GCST90027750	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Proteobacteria)	ebi-a-GCST90027751	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Verrucomicrobia)	ebi-a-GCST90027752	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Micrococcaceae.g_Rothia.s_Rothia_mucilaginosa)	ebi-a-GCST90027753	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium.s_Bifidobacterium_adolescentis)	ebi-a-GCST90027754	phenotype	opengwas	EUR	7738	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium.s_Bifidobacterium_bifidum)	ebi-a-GCST90027755	phenotype	opengwas	EUR	7738	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium.s_Bifidobacterium_catenulatum)	ebi-a-GCST90027756	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium.s_Bifidobacterium_longum)	ebi-a-GCST90027757	phenotype	opengwas	EUR	7738	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Adlercreutzia.s_Adlercreutzia_equolifaciens)	ebi-a-GCST90027758	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Collinsella.s_Collinsella_aerofaciens)	ebi-a-GCST90027759	phenotype	opengwas	EUR	7738	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Eggerthella.s_Eggerthella_unclassified)	ebi-a-GCST90027760	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Gordonibacter.s_Gordonibacter_pamelaeae)	ebi-a-GCST90027761	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidales_noname.g_Bacteroidales_noname.s_Bacteroidales_bacterium_ph8)	ebi-a-GCST90027762	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Barnesiella.s_Barnesiella_intestinihominis)	ebi-a-GCST90027763	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Coprobacter.s_Coprobacter_fastidiosus)	ebi-a-GCST90027764	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Odoribacter.s_Odoribacter_splanchnicus)	ebi-a-GCST90027765	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Parabacteroides.s_Parabacteroides_distasonis)	ebi-a-GCST90027766	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Parabacteroides.s_Parabacteroides_goldsteinii)	ebi-a-GCST90027767	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Parabacteroides.s_Parabacteroides_johnsonii)	ebi-a-GCST90027768	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Parabacteroides.s_Parabacteroides_merdae)	ebi-a-GCST90027769	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Parabacteroides.s_Parabacteroides_unclassified)	ebi-a-GCST90027770	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae.g_Paraprevotella.s_Paraprevotella_clara)	ebi-a-GCST90027771	phenotype	opengwas	EUR	7738	0	gut microbiome measurement	""	TRUE
