"id","trait","note"
"UKB-b-10903","Non-cancer illness code, self-reported: endometriosis","20002#1402: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10911","Diagnoses - secondary ICD10: Z92.2 Personal history of long-term (current) use of other medicaments","41204#Z922: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10912","Non-cancer illness code, self-reported: high cholesterol","20002#1473: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10919","Operative procedures - main OPCS: E49.9 Unspecified diagnostic fibreoptic endoscopic examination of lower respiratory tract","41200#E499: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10937","Reason for glasses/contact lenses: For 'astigmatism'","6147#4: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1096","Heel bone mineral density (BMD) (left)","4105: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1100","Close to major road","24014: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11015","Operative procedures - main OPCS: Q18.9 Unspecified diagnostic endoscopic examination of uterus","41200#Q189: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11020","Diagnoses - main ICD10: K80.2 Calculus of gallbladder without cholecystitis","41202#K802: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11045","Diagnoses - secondary ICD10: M13.9 Arthritis, unspecified","41204#M139: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11048","Why stopped smoking: Financial reasons","6157#4: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11052","Diagnoses - main ICD10: R79.8 Other specified abnormal findings of blood chemistry","41202#R798: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11064","Diagnoses - secondary ICD10: Z95.1 Presence of aortocoronary bypass graft","41204#Z951: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11065","Diagnoses - secondary ICD10: W01.0 Home","41204#W010: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11075","Mineral and other dietary supplements: Fish oil (including cod liver oil)","6179#1: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11076","ECG, phase time","5986: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11085","Medication for pain relief, constipation, heartburn: None of the above","6154#100: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11113","3mm weak meridian (left)","5096: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11120","Operation code: knee replacement/revision","20004#1319: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11141","Forced expiratory volume in 1-second (FEV1), Best measure","20150: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11158","Aide-memoire completed","111: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11161","Mouth/teeth dental problems: Painful gums","6149#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11182","3mm cylindrical power (left)","5119: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11188","Used an inhaler for chest within last hour","3090: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11189","Type of special diet followed: Gluten-free","20086#8: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11207","6mm cylindrical power (left)","5118: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11209","Diagnoses - secondary ICD10: R79.8 Other specified abnormal findings of blood chemistry","41204#R798: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11231","Diagnoses - secondary ICD10: Z85.8 Personal history of malignant neoplasms of other organs and systems","41204#Z858: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
